Model;Fabricante;Codename;Series;precio;L2.Cache.MB.;TDP.Watt;MHz;Cores;Process.nm.;Architecture;Days.old;Graphics.Card;Cinebench.R10.32Bit.Single;SuperPI.1M.;TrueCrypt.AES
AMD Ryzen 5 1400;AMD;Zen;Ryzen 5;137;2;65;3200;4;14;x86;1995;newitem;4204.5;13.88;4.1
Intel Core i7-3820QM;Intel;Ivy Bridge;Core i7;143;1;45;2700;4;22;x86;3809;HD Graphics 4000;5008;10;3.5
Intel Core i9-9980XE;Intel;Sky Lake-X;Core i9 (Desktop);477;18;165;3000;18;14;x86;1367;newitem;7323;8.23;18.1
Intel Core i7-3630QM;Intel;Ivy Bridge;Core i7;104;1;45;2400;4;22;x86;3649;HD Graphics 4000;NA;10.91;3.1
AMD Ryzen 7 3800XT;AMD;Matisse (Zen 2);Matisse (Ryzen 3000 Desktop);398;4;105;3900;8;7;x86;812;newitem;6035;9.07;11.4
Intel Xeon E5-2697 v2;Intel;Ivy Bridge-EP;Xeon (Desktop);386;3;130;2700;12;22;x86;3304;newitem;4173;12.86;8.7
Intel Core i7-1195G7;Intel;Tiger Lake UP3;Tiger Lake;382;5;28;2900;4;10;x86;485;Iris Xe G7 96EUs;NA;6.75;6.4
AMD Ryzen 9 3900;AMD;Matisse (Zen 2);Matisse (Ryzen 3000 Desktop);538;6;65;3100;12;7;x86;1084;newitem;5700;9.6;10.4
Intel Core i7-10700K;Intel;Comet Lake-S;Comet Lake;358;2;125;3800;8;14;x86;880;UHD Graphics 630;7910;7.58;11.2
Intel Core i5-7500T;Intel;Kaby Lake;Kaby Lake;134;1;35;2700;4;14;x86;2093;HD Graphics 630;5002;11.99;2.7
Intel Core i5-8600K;Intel;Coffee Lake-S;Coffee Lake;224;1.5;95;3600;6;14;x86;2091;UHD Graphics 630;6875;8.76;5.4
AMD Ryzen 5 PRO 5675U;AMD;Cezanne U (Zen 3);Cezanne (Zen 3, Ryzen 5000);189;3;25;2300;6;7;x86;628;Vega 7;NA;NA;NA
Apple M1;Apple;;Apple M-Series;379;16;NA;2064;8;5;ARM;686;M1 8-Core GPU;NA;NA;NA
Intel Xeon E5-2680 v4;Intel;Broadwell-EP;Xeon (Desktop);358;3.5;120;2400;14;14;x86;2392;newitem;3707;16.75;9.4
Intel Core i5-1230U;Intel;Alder Lake-U;Alder Lake-M;76;9.5;9;700;10;10;x86;266;Iris Xe G7 80EUs;7290;7;NA
Intel Core i7-7740X;Intel;Kaby Lake-X;Kaby Lake;244;1;112;4300;4;14;x86;1946;newitem;7396.5;8.1;5.6
Intel Core i7-10870H;Intel;Comet Lake-H;Comet Lake;415;2;45;2200;8;14;x86;747;UHD Graphics 630;NA;NA;NA
Intel Core i5-6440HQ;Intel;Skylake;Core i5;115;1;45;2600;4;14;x86;2583;HD Graphics 530;5157;10.66;2.6
Intel Core i9-8950HK;Intel;Coffee Lake-H;Coffee Lake;364;1.5;45;2900;6;14;x86;1669;UHD Graphics 630;7149;8.41;7.2
Intel Core i7-6700K;Intel;Skylake;Core i7 (Desktop);105;1;91;4000;4;14;x86;2610;HD Graphics 530;6531;9;4.35
Intel Core i9-9900T;Intel;Coffee Lake-R;Coffee Lake;351;2;35;2100;8;14;x86;1450;UHD Graphics 630;6758;8.77;4.6
Intel Xeon E3-1535M v5;Intel;Skylake;Xeon;106;1;45;2900;4;14;x86;2583;HD Graphics P530;5772.5;9;4
Intel Core i5-10600K;Intel;Comet Lake-S;Comet Lake;391;1.5;125;4100;6;14;x86;860;UHD Graphics 630;7343;7.8;8
Intel Core i9-11980HK;Intel;Tiger Lake H45;Tiger Lake;621;10;45;2600;8;10;x86;504;UHD Graphics Xe 32EUs (Tiger Lake-H);9626;6.82;NA
Intel Core i5-8250U;Intel;Kaby Lake Refresh;Kaby Lake Refresh;160;1;15;1600;4;14;x86;1863;UHD Graphics 620;55332;11.06;3.5
AMD Ryzen 7 3750H;AMD;Zen+;Picasso (Ryzen 3000 APU);125;2;35;2300;4;12;x86;1360;Vega 10;4770;10.95;5
AMD Ryzen 5 PRO 6650U;AMD;Rembrandt U (Zen 3+);Rembrandt (Zen 3+);251;3;28;2900;6;6;x86;160;Radeon 660M;6062;7.94;5.5
AMD Ryzen 5 4680U;AMD;Renoir (Zen 2);Renoir (Ryzen 4000 APU);119;3;15;2200;6;7;x86;532;Vega 7;5301;10.5;8.3
AMD Ryzen 3 2200G;AMD;Zen;Raven Ridge (Ryzen 2000 APU);78;2;65;3500;4;14;x86;1724;Vega 8;4625;11.7;3.1
Intel Xeon E3-1505M v5;Intel;Skylake;Xeon;88;1;45;2800;4;14;x86;2583;HD Graphics P530;5560;10.03;3.95
Intel Core i7-8086K;Intel;Coffee Lake-S;Coffee Lake;365;1.5;95;3700;6;14;x86;1579;UHD Graphics 630;7216;8.5;7.85
Intel Core i7-4790T;Intel;Haswell;Core i7 (Desktop);94;1;45;2700;4;22;x86;3071;HD Graphics 4600;5691;9.73;NA
Intel Core i9-10900K;Intel;Comet Lake-S;Comet Lake;409;2.5;125;3700;10;14;x86;860;UHD Graphics 630;8127;7.2;14.6
Intel Core i3-1000NG4;Intel;Ice Lake Y;Ice Lake;65;1;9;1100;2;10;x86;921;Iris Plus Graphics G4 (Ice Lake 48 EU);5771;10.64;NA
Intel Core i7-8700K;Intel;Coffee Lake-S;Coffee Lake;410;1.5;95;3700;6;14;x86;2091;UHD Graphics 630;7328;8.02;8
Intel Core i7-8705G;Intel;Kaby Lake-G;Core i7;149;1;65;3100;4;14;x86;1724;Vega M GL / 870;6436;9.25;4.6
Intel Core i9-9880H;Intel;Coffee Lake-H;Coffee Lake;360;2;45;2300;8;14;x86;1246;UHD Graphics 630;6967;8.52;7.5
Intel Core i5-6400T;Intel;Skylake;Core i5 (Desktop);76;1;35;2200;4;14;x86;2610;HD Graphics 530;4397;13;2.2
Intel Core i7-8709G;Intel;Kaby Lake-G;Core i7;126;1;100;3100;4;14;x86;1721;Vega M GH;NA;NA;NA
AMD Ryzen 5 PRO 3500U;AMD;Zen+;Picasso (Ryzen 3000 APU);107;2;15;2100;4;12;x86;1268;Vega 8;NA;NA;NA
Intel Core i7-2700K;Intel;Sandy Bridge;Core i7 (Desktop);101;1;95;3500;4;32;x86;3968;HD Graphics 3000;4967;9.84;3.5
Intel Core i9-9900K;Intel;Coffee Lake-R;Coffee Lake;359;2;95;3600;8;14;x86;1450;UHD Graphics 630;7933;7.66;11.1
AMD Ryzen 5 3500U;AMD;Zen+;Picasso (Ryzen 3000 APU);74;2;15;2100;4;12;x86;1360;Vega 8;4557.5;12;4.4
Intel Core i5-1035G1;Intel;Ice Lake U;Ice Lake;141;2;15;1000;4;10;x86;1217;UHD Graphics G1 (Ice Lake 32 EU);6869.5;25.5;4.2
Intel Core i9-10980HK;Intel;Comet Lake-H;Comet Lake;397;2;45;2400;8;14;x86;908;UHD Graphics 630;NA;7.8;10.1
AMD Ryzen 5 3450U;AMD;Zen+;Picasso (Ryzen 3000 APU);107;2;15;2100;4;12;x86;879;Vega 8;NA;NA;NA
Intel Core i7-12700K;Intel;Alder Lake;Alder Lake-S;499;12;125;3600;12;10;x86;326;UHD Graphics 770;9305;7.35;15.7
AMD Ryzen 3 PRO 3300U;AMD;Zen+;Picasso (Ryzen 3000 APU);86;2;15;2100;4;12;x86;1268;Vega 6;NA;NA;NA
Intel Core i7-4760HQ;Intel;Haswell;Core i7;92;1;47;2100;4;22;x86;3088;Iris Pro Graphics 5200;NA;NA;NA
Intel Core i5-9400F;Intel;Coffee Lake-R;Coffee Lake;139;1.5;65;2900;6;14;x86;1359;newitem;6490;9.3;5.2
Intel Core i7-4800MQ;Intel;Haswell;Core i7;142;1;47;2700;4;22;x86;3405;HD Graphics 4600;5233;10;4.05
